Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,CAIFX,Capital Income Builder Cl F-2 Shs,Purchase,04/12/2023,"$1,001 - $15,000",n/a
Self,VYM,High Dividend Yield Vanguard ETF,Purchase,04/12/2023,"$1,001 - $15,000",n/a
Self,EPSYX,Mainstay Epoch Global Equity Yield Fund Class I,Purchase,04/12/2023,"$1,001 - $15,000",n/a
Self,VDIGX,Vanguard Specialized Portfolios Vanguard Divide,Purchase,04/12/2023,"$1,001 - $15,000",n/a
Self,GLIFX,Lazard Global Listed Infrastructure Ptf Insti Sh,Purchase,04/12/2023,"$1,001 - $15,000",n/a
Self,BIICX,Blackrock Funds II Blackrock Multi-Asset Income,Purchase,04/12/2023,"$1,001 - $15,000",n/a
Self,PPSIX,Principal Funds Inc. - Spectrum Preferred and C,Purchase,04/12/2023,"$1,001 - $15,000",n/a
Self,HHDFX,Hamlin High Dividend Equity Fd Inst Cl,Purchase,04/12/2023,"$1,001 - $15,000",n/a
Self,GSFTX,Columbia Dividend Income Fund Class I,Purchase,04/12/2023,"$1,001 - $15,000",n/a
Self,ARIDX,Amg River Road Dividend All Cap Value Fund - Cla,Purchase,04/12/2023,"$1,001 - $15,000",n/a
Self,CAIFX,Capital Income Builder Cl F-2 Shs,Sale (Partial),12/07/2023,"$1,001 - $15,000",n/a
Self,IGFFX,International Growth and Income Fd Cl F-2 Shs,Sale (Partial),12/07/2023,"$1,001 - $15,000",n/a
Self,VYM,High Dividend Yield Vanguard ETF,Sale (Partial),12/07/2023,"$1,001 - $15,000",n/a
Self,PPSIX,Principal Funds Inc. - Spectrum Preferred and C,Sale (Partial),12/07/2023,"$1,001 - $15,000",n/a
Self,GLIFX,Lazard Global Listed Infrastructure Ptf Insti Sh,Sale (Partial),12/07/2023,"$1,001 - $15,000",n/a
Self,HHDFX,Hamlin High Dividend Equity Fd Inst Cl,Sale (Partial),12/07/2023,"$1,001 - $15,000",n/a
Self,VDIGX,Vanguard Specialized Portfolios Vanguard Divide,Sale (Partial),12/07/2023,"$1,001 - $15,000",n/a
Self,BIICX,Blackrock Funds II Blackrock Multi-Asset Income,Sale (Partial),12/07/2023,"$1,001 - $15,000",n/a
Self,EPSYX,Mainstay Epoch Global Equity Yield Fund Class I,Sale (Partial),12/07/2023,"$1,001 - $15,000",n/a
Self,GSFTX,Columbia Dividend Income Fund Class I,Sale (Partial),12/07/2023,"$1,001 - $15,000",n/a
Self,GSFTX,Columbia Dividend Income Fund Class I,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Joint,LUBAX,Lord Abbett Ultra Short Bond Fund - Class A,Sale (Full),04/10/2023,"$15,001 - $50,000",n/a
Self,--,Conservative Income Portfolio,Sale (Full),01/17/2023,"$1,001 - $15,000",n/a
Self,--,Conservative Income Portfolio,Purchase,01/11/2023,"$1,001 - $15,000",n/a
Self,--,Property Sale - Pat Grassley,Sale (Partial),03/01/2023,"$1,001 - $15,000",
Self,--,Property Sale - Robin Grassley,Sale (Partial),03/01/2023,"$15,001 - $50,000",
Self,--,Property Sale - Pat Grassley,Sale (Partial),11/01/2023,"$1,001 - $15,000",
Self,--,Property Sale - Robin Grassley,Sale (Partial),11/01/2023,"$15,001 - $50,000",
