roll_number,member_full,first_name,last_name,party,state,lis_member_id,vote_cast
2,Lummis (R-WY),Cynthia,Lummis,R,WY,S410,Yea
2,Manchin (D-WV),Joseph,Manchin,D,WV,S338,Yea
2,Markey (D-MA),Edward,Markey,D,MA,S369,Yea
2,Marshall (R-KS),Roger,Marshall,R,KS,S411,Yea
2,McConnell (R-KY),Mitch,McConnell,R,KY,S174,Yea
2,Menendez (D-NJ),Robert,Menendez,D,NJ,S306,Yea
2,Merkley (D-OR),Jeff,Merkley,D,OR,S322,Yea
2,Moran (R-KS),Jerry,Moran,R,KS,S347,Not Voting
2,Mullin (R-OK),Markwayne,Mullin,R,OK,S419,Yea
2,Murkowski (R-AK),Lisa,Murkowski,R,AK,S288,Yea
2,Murphy (D-CT),Christopher,Murphy,D,CT,S364,Yea
2,Murray (D-WA),Patty,Murray,D,WA,S229,Yea
2,Ossoff (D-GA),Jon,Ossoff,D,GA,S414,Yea
2,Padilla (D-CA),Alex,Padilla,D,CA,S413,Yea
2,Paul (R-KY),Rand,Paul,R,KY,S348,Not Voting
2,Peters (D-MI),Gary,Peters,D,MI,S380,Yea
2,Reed (D-RI),John,Reed,D,RI,S259,Yea
2,Ricketts (R-NE),Pete,Ricketts,R,NE,S423,Yea
2,Risch (R-ID),James,Risch,R,ID,S323,Yea
2,Romney (R-UT),Mitt,Romney,R,UT,S401,Yea
2,Rosen (D-NV),Jacklyn,Rosen,D,NV,S402,Yea
2,Rounds (R-SD),Mike,Rounds,R,SD,S381,Yea
2,Rubio (R-FL),Marco,Rubio,R,FL,S350,Yea
2,Sanders (I-VT),Bernard,Sanders,I,VT,S313,Yea
2,Schatz (D-HI),Brian,Schatz,D,HI,S353,Yea
2,Schmitt (R-MO),Eric,Schmitt,R,MO,S420,Yea
2,Schumer (D-NY),Charles,Schumer,D,NY,S270,Yea
2,Scott (R-FL),Rick,Scott,R,FL,S404,Yea
2,Scott (R-SC),Tim,Scott,R,SC,S365,Yea
2,Shaheen (D-NH),Jeanne,Shaheen,D,NH,S324,Yea
2,Sinema (I-AZ),Kyrsten,Sinema,I,AZ,S403,Yea
2,Smith (D-MN),Tina,Smith,D,MN,S394,Yea
2,Stabenow (D-MI),Debbie,Stabenow,D,MI,S284,Yea
2,Sullivan (R-AK),Dan,Sullivan,R,AK,S383,Yea
2,Tester (D-MT),Jon,Tester,D,MT,S314,Yea
2,Thune (R-SD),John,Thune,R,SD,S303,Yea
2,Tillis (R-NC),Thomas,Tillis,R,NC,S384,Yea
2,Tuberville (R-AL),Tommy,Tuberville,R,AL,S412,Yea
2,Van Hollen (D-MD),Chris,Van Hollen,D,MD,S390,Yea
2,Vance (R-OH),J.,Vance,R,OH,S421,Not Voting
2,Warner (D-VA),Mark,Warner,D,VA,S327,Yea
2,Warnock (D-GA),Raphael,Warnock,D,GA,S415,Yea
2,Warren (D-MA),Elizabeth,Warren,D,MA,S366,Yea
2,Welch (D-VT),Peter,Welch,D,VT,S422,Yea
2,Whitehouse (D-RI),Sheldon,Whitehouse,D,RI,S316,Yea
2,Wicker (R-MS),Roger,Wicker,R,MS,S318,Yea
2,Wyden (D-OR),Ron,Wyden,D,OR,S247,Yea
2,Young (R-IN),Todd,Young,R,IN,S391,Yea
3,Baldwin (D-WI),Tammy,Baldwin,D,WI,S354,Yea
3,Barrasso (R-WY),John,Barrasso,R,WY,S317,Yea
3,Bennet (D-CO),Michael,Bennet,D,CO,S330,Yea
3,Blackburn (R-TN),Marsha,Blackburn,R,TN,S396,Yea
3,Blumenthal (D-CT),Richard,Blumenthal,D,CT,S341,Yea
3,Booker (D-NJ),Cory,Booker,D,NJ,S370,Not Voting
3,Boozman (R-AR),John,Boozman,R,AR,S343,Yea
3,Braun (R-IN),Mike,Braun,R,IN,S397,Nay
3,Britt (R-AL),Katie,Britt,R,AL,S416,Yea
3,Brown (D-OH),Sherrod,Brown,D,OH,S307,Yea
3,Budd (R-NC),Ted,Budd,R,NC,S417,Yea
3,Cantwell (D-WA),Maria,Cantwell,D,WA,S275,Yea
3,Capito (R-WV),Shelley,Capito,R,WV,S372,Yea
