Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,--,InvescoV.I Comstock Fund,Sale (Partial),10/06/2023,"$1,001 - $15,000"
Self,--,Put VT Intl Equity,Sale (Partial),10/06/2023,"$1,001 - $15,000"
Self,--,Invesco Capital App Fund,Sale (Partial),10/06/2023,"$1,001 - $15,000"
Self,--,Fidelity VIP Equity-Incm,Purchase,10/06/2023,"$1,001 - $15,000"
Self,--,AB VPS Intl Value Port,Purchase,10/06/2023,"$1,001 - $15,000"
Self,--,Htfd Ttl Return Bond HLS,Purchase,10/06/2023,"$1,001 - $15,000"
Self,--,Htfd Intl Opp HLS,Purchase,10/06/2023,"$1,001 - $15,000"
Self,--,Invesco Main St Small Cap,Purchase,10/06/2023,"$1,001 - $15,000"
Self,LBFIX,Clearbridge Select Fd I,Purchase,02/24/2023,"$1,001 - $15,000"
Self,CSSPX,Cohen & Steers Global Realty Shares Inc Class I,Purchase,02/24/2023,"$1,001 - $15,000"
Self,GERIX,Goldman Sachs Emerging Mkts Equity Insight Fd IN,Purchase,02/24/2023,"$1,001 - $15,000"
Self,GLIFX,Lazard Global Listed Infrastructure Ptf Insti Sh,Purchase,02/24/2023,"$1,001 - $15,000"
Self,FTHSX,Fuller & Thaler Behavioral Small-Cap Equity Fund,Purchase,02/27/2023,"$1,001 - $15,000"
Self,BSBIX,Baird Short Term Bond Fund Institutional Class,Purchase,03/24/2023,"$1,001 - $15,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,03/24/2023,"$15,001 - $50,000"
Self,DVY,iShares Select Dividend ETF,Purchase,03/27/2023,"$1,001 - $15,000"
Self,LBFIX,Clearbridge Select Fd I,Purchase,04/25/2023,"$1,001 - $15,000"
Self,CNSFX,Invesco Convertible Securities Fund Cl R6,Purchase,04/25/2023,"$1,001 - $15,000"
Self,VWILX,Vanguard International Growth Fund Admiral Share,Purchase,04/25/2023,"$1,001 - $15,000"
Self,BIOIX,Baron Opportunity Fund Inst Shs,Purchase,05/26/2023,"$1,001 - $15,000"
Self,GOBIX,Brandywineglobal - Global Opportunities Bond Fun,Purchase,05/26/2023,"$1,001 - $15,000"
Self,OANMX,Oakmark Fund Institutional Class,Purchase,05/26/2023,"$15,001 - $50,000"
Self,BIOIX,Baron Opportunity Fund Inst Shs,Purchase,06/23/2023,"$1,001 - $15,000"
Self,FSGGX,Fidelity Global Ex U.S. Index Fund,Purchase,06/23/2023,"$1,001 - $15,000"
Self,RPIFX,T. Rowe Price Institutional Floating Rate Fund,Purchase,06/23/2023,"$1,001 - $15,000"
Self,DVY,iShares Select Dividend ETF,Purchase,06/26/2023,"$1,001 - $15,000"
Self,FSGGX,Fidelity Global Ex U.S. Index Fund,Purchase,07/25/2023,"$1,001 - $15,000"
Self,JSOSX,Jpmorgan Strategic Income Opportunities Fund I C,Purchase,07/25/2023,"$1,001 - $15,000"
Self,DVY,iShares Select Dividend ETF,Purchase,07/26/2023,"$1,001 - $15,000"
Child,BSBIX,Baird Short Term Bond Fund Institutional Class,Purchase,01/27/2023,"$1,001 - $15,000"
Child,BIOIX,Baron Opportunity Fund Inst Shs,Purchase,01/27/2023,"$1,001 - $15,000"
Child,CSSPX,Cohen & Steers Global Realty Shares Inc Class I,Purchase,01/27/2023,"$1,001 - $15,000"
Child,FSGGX,Fidelity Global Ex U.S. Index Fund,Purchase,01/27/2023,"$1,001 - $15,000"
Child,GERIX,Goldman Sachs Emerging Mkts Equity Insight Fd IN,Purchase,01/27/2023,"$1,001 - $15,000"
Child,CNSFX,Invesco Convertible Securities Fund Cl R6,Purchase,01/27/2023,"$1,001 - $15,000"
Child,JSOSX,Jpmorgan Strategic Income Opportunities Fund I C,Purchase,01/27/2023,"$1,001 - $15,000"
Child,GLIFX,Lazard Global Listed Infrastructure Ptf Insti Sh,Purchase,01/27/2023,"$1,001 - $15,000"
Child,OANMX,Oakmark Fund Institutional Class,Purchase,01/27/2023,"$1,001 - $15,000"
Child,RPIFX,T. Rowe Price Institutional Floating Rate Fund,Purchase,01/27/2023,"$1,001 - $15,000"
Child,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,01/27/2023,"$1,001 - $15,000"
Child,VWILX,Vanguard International Growth Fund Admiral Share,Purchase,01/27/2023,"$1,001 - $15,000"
Child,DVY,iShares Select Dividend ETF,Purchase,01/31/2023,"$1,001 - $15,000"
Child,GQGIX,Gqg Partners Emerging Markets Equity Fund Instit,Purchase,01/27/2023,"$1,001 - $15,000"
Child,GIBIX,Guggenheim Total Return Bond Fund- Institutional,Purchase,01/27/2023,"$1,001 - $15,000"
Child,TSCGX,Thrivent Small Cap Growth Fund,Sale (Partial),01/27/2023,"$1,001 - $15,000"
Child,DGRO,iShares Core Dividend Growth ETF,Purchase,01/30/2023,"$1,001 - $15,000"
Child,AUNYX,Ab Bond Fund Inc. - Ab Municipal Bond Inflation,Sale (Full),03/14/2023,"$15,001 - $50,000"
Child,MAWIX,Blackrock Strategic Global Bond Fund Inc. - Ins,Sale (Partial),03/14/2023,"$1,001 - $15,000"
Child,MAMTX,Blackrock Strategic Municipal Opportunities Fund,Sale (Full),03/14/2023,"$15,001 - $50,000"
Child,GSDUX,Goldman Sachs Short Duration Tax Free Fund Insti,Purchase,03/14/2023,"$1,001 - $15,000"
Child,PLSRX,Pacific Funds Strategic Income - Class I,Purchase,03/14/2023,"$1,001 - $15,000"
Child,TFEBX,The Tax-Exempt Bond Fund of America - Class F-3,Purchase,03/14/2023,"$15,001 - $50,000"
Child,LAHYX,Lord Abbett Investment Trust High Yield Fund Cla,Purchase,03/15/2023,"$1,001 - $15,000"
Child,IYMIX,Delaware Ivy Mid Cap Growth Fund Class I,Purchase,04/13/2023,"$1,001 - $15,000"
Child,RAIIX,Rainier International Discovery Series - Class I,Purchase,04/13/2023,"$1,001 - $15,000"
Child,VGISX,Virtus Duff & Phelps Global Real Estate Securiti,Purchase,04/13/2023,"$1,001 - $15,000"
Child,IXUS,Total Intl Stock Ishares Core MSCI ETF,Purchase,04/14/2023,"$1,001 - $15,000"
Child,PLSRX,Pacific Funds Strategic Income - Class I,Purchase,05/15/2023,"$1,001 - $15,000"
Child,BSBIX,Baird Short Term Bond Fund Institutional Class,Purchase,05/15/2023,"$1,001 - $15,000"
Child,FIWDX,Fidelity Advisor Strategic Income Fund,Sale (Full),05/15/2023,"$1,001 - $15,000"
Child,GSDUX,Goldman Sachs Short Duration Tax Free Fund Insti,Purchase,05/15/2023,"$1,001 - $15,000"
Child,GIBIX,Guggenheim Total Return Bond Fund- Institutional,Purchase,05/15/2023,"$1,001 - $15,000"
Child,JENIX,Jensen Quality Growth Fund Cl I,Purchase,05/15/2023,"$1,001 - $15,000"
Child,LAHYX,Lord Abbett Investment Trust High Yield Fund Cla,Purchase,05/15/2023,"$1,001 - $15,000"
Child,TFEBX,The Tax-Exempt Bond Fund of America - Class F-3,Purchase,05/15/2023,"$1,001 - $15,000"
Child,TSCSX,Thrivent Small Cap Stock Fund Class S,Purchase,05/15/2023,"$1,001 - $15,000"
Child,VWUAX,Vanguard  U.S. Growth Fund Admiral Shares,Purchase,05/15/2023,"$1,001 - $15,000"
Child,IXUS,Total Intl Stock Ishares Core MSCI ETF,Purchase,05/16/2023,"$1,001 - $15,000"
Child,DGRO,iShares Core Dividend Growth ETF,Purchase,05/16/2023,"$1,001 - $15,000"
Child,BSBIX,Baird Short Term Bond Fund Institutional Class,Sale (Full),06/23/2023,"$1,001 - $15,000"
Child,MAWIX,Blackrock Strategic Global Bond Fund Inc. - Ins,Purchase,06/26/2023,"$1,001 - $15,000"
Child,RGERX,Columbia Select Global Equity Fund Class I2,Purchase,09/06/2023,"$1,001 - $15,000"
Child,GSDUX,Goldman Sachs Short Duration Tax Free Fund Insti,Purchase,09/06/2023,"$1,001 - $15,000"
Child,TFEBX,The Tax-Exempt Bond Fund of America - Class F-3,Purchase,09/06/2023,"$1,001 - $15,000"
Child,VGISX,Virtus Duff & Phelps Global Real Estate Securiti,Purchase,09/06/2023,"$1,001 - $15,000"
Child,IYMIX,Delaware Ivy Mid Cap Growth Fund Class I,Purchase,10/06/2023,"$1,001 - $15,000"
Child,GQGIX,Gqg Partners Emerging Markets Equity Fund Instit,Purchase,10/06/2023,"$1,001 - $15,000"
